Date,Power in kW,Last Hour Power in kW,Temperature in °C,Humidity in %,Solar Radiation in W/m^2
2017-06-17 16:00:00,137.4814259,137.3244509,37.8675,20.0,534.9583333333334
2017-06-17 17:00:00,139.0932452,137.4814259,36.83,20.0,403.01666666666665
2017-06-17 18:00:00,136.7365272,139.0932452,35.5675,20.0,232.36666666666667
2017-06-17 19:00:00,130.4072952,136.7365272,33.972500000000004,20.0,83.98166666666667
2017-06-17 20:00:00,131.411098,130.4072952,30.584999999999997,26.08666666666667,2.6553333333333335
2017-06-17 21:00:00,128.9520323,131.411098,29.6875,27.886666666666667,1.012
2017-06-17 22:00:00,121.808414,128.9520323,29.188333333333333,29.133333333333336,0.973
2017-06-17 23:00:00,121.9959468,121.808414,29.595,27.41,0.0
2017-06-18 00:00:00,121.2908151,121.9959468,28.831666666666667,28.2375,0.0
2017-06-18 01:00:00,121.1564445,121.2908151,28.326666666666668,29.295,0.0
2017-06-18 02:00:00,120.2035016,121.1564445,27.483333333333334,31.305833333333336,0.0
2017-06-18 03:00:00,116.8413064,120.2035016,27.626666666666665,30.286666666666665,0.0
2017-06-18 04:00:00,116.3538467,116.8413064,26.933333333333334,33.0525,0.0
2017-06-18 05:00:00,115.9162004,116.3538467,26.894166666666667,31.450833333333332,9.7145
2017-06-18 06:00:00,112.7783748,115.9162004,27.05666666666667,30.47583333333333,68.58
2017-06-18 07:00:00,113.4696927,112.7783748,26.675,36.098333333333336,168.38333333333333
2017-06-18 08:00:00,113.1310453,113.4696927,27.805833333333336,31.435833333333335,302.26666666666665
2017-06-18 09:00:00,119.6792051,113.1310453,30.340833333333332,29.254166666666666,543.3333333333334
2017-06-18 10:00:00,124.8878449,119.6792051,31.150833333333335,28.9025,679.4166666666666
2017-06-18 11:00:00,124.8951704,124.8878449,34.469166666666666,20.906666666666666,819.25
2017-06-18 12:00:00,128.294621,124.8951704,32.464999999999996,25.184166666666666,834.0
2017-06-18 13:00:00,129.2599126,128.294621,33.090833333333336,21.373333333333335,843.0833333333334
